"id","regulation_id","parent_id","type","level","number","long_id","name","title","scope_tag","text"
"G020","REG_GDPR","","article","1","1","GDPR_A1","Article 1 GDPR","Subject-matter and objectives","MATERIAL",""
"G021","REG_GDPR","G020","paragraph","2","1","GDPR_A1.1","Article 1(1) GDPR","","MATERIAL","This Regulation lays down rules relating to the protection of natural persons with regard to the processing of personal data and rules relating to the free movement of personal data."
"G022","REG_GDPR","G020","paragraph","2","2","GDPR_A1.2","Article 1(2) GDPR","","MATERIAL","This Regulation protects fundamental rights and freedoms of natural persons and in particular their right to the protection of personal data."
"G023","REG_GDPR","G020","paragraph","2","3","GDPR_A1.3","Article 1(3) GDPR","","MATERIAL","The free movement of personal data within the Union shall be neither restricted nor prohibited for reasons connected with the protection of natural persons with regard to the processing of personal data."
"G024","REG_GDPR","","article","1","2","GDPR_A2","Article 2 GDPR","Material scope","MATERIAL;EXCLUSION",""
"G025","REG_GDPR","G024","paragraph","2","1","GDPR_A2.1","","","MATERIAL;EXCLUSION","This Regulation applies to the processing of personal data wholly or partly by automated means and to the processing other than by automated means of personal data which form part of a filing system or are intended to form part of a filing system."
"G026","REG_GDPR","G025","point","3","a","GDPR_A2.2.a","","","MATERIAL;EXCLUSION","in the course of an activity which falls outside the scope of Union law;"
"G027","REG_GDPR","G025","point","3","b","GDPR_A2.2.b","","","MATERIAL;EXCLUSION","by the Member States when carrying out activities which fall within the scope of Chapter 2 of Title V of the TEU;"
"G028","REG_GDPR","G025","point","3","c","GDPR_A2.2.c","","","MATERIAL;EXCLUSION","by a natural person in the course of a purely personal or household activity;"
"G029","REG_GDPR","G025","point","3","d","GDPR_A2.2.d","","","MATERIAL;EXCLUSION","by competent authorities for the purposes of the prevention, investigation, detection or prosecution of criminal offences or the execution of criminal penalties, including the safeguarding against and the prevention of threats to public security."
"G030","REG_GDPR","G024","paragraph","2","2","GDPR_A2.2","","","MATERIAL;EXCLUSION","This Regulation does not apply to the processing of personal data:"
"G031","REG_GDPR","G024","paragraph","2","3","GDPR_A2.3","","","MATERIAL;EXCLUSION","For the processing of personal data by the Union institutions, bodies, offices and agencies, Regulation (EC) No 45/2001 applies. Regulation (EC) No 45/2001 and other Union legal acts applicable to such processing of personal data shall be adapted to the principles and rules of this Regulation in accordance with Article 98."
"G032","REG_GDPR","G024","paragraph","2","4","GDPR_A2.4","","","MATERIAL;EXCLUSION","This Regulation shall be without prejudice to the application of Directive 2000/31/EC, in particular of the liability rules of intermediary service providers in Articles 12 to 15 of that Directive."
"G033","REG_GDPR","","article","1","3","GDPR_A3","Territorial scope","Territorial scope","TERRITORIAL",""
"G034","REG_GDPR","G033","paragraph","2","1","GDPR_A3.1","","","TERRITORIAL","This Regulation applies to the processing of personal data in the context of the activities of an establishment of a controller or a processor in the Union, regardless of whether the processing takes place in the Union or not."
"G035","REG_GDPR","G034","point","3","a","GDPR_A3.2.a","","","TERRITORIAL","the offering of goods or services, irrespective of whether a payment of the data subject is required, to such data subjects in the Union; or"
"G036","REG_GDPR","G034","point","3","b","GDPR_A3.2.b","","","TERRITORIAL","the monitoring of their behaviour as far as their behaviour takes place within the Union."
"G037","REG_GDPR","G033","paragraph","2","2","GDPR_A3.2","","","TERRITORIAL","This Regulation applies to the processing of personal data of data subjects who are in the Union by a controller or processor not established in the Union, where the processing activities are related to:"
"G038","REG_GDPR","G033","paragraph","2","3","GDPR_A3.3","","","TERRITORIAL","This Regulation applies to the processing of personal data by a controller not established in the Union, but in a place where Member State law applies by virtue of public international law."
"G039","REG_GDPR","","article","1","4","GDPR_A4","Definitions","Definitions","DEFINITION","For the purposes of this Regulation:"
"G040","REG_GDPR","G039","paragraph","2","1","GDPR_A4.1","","","DEFINITION","‘personal data’ means any information relating to an identified or identifiable natural person (‘data subject’); an identifiable natural person is one who can be identified, directly or indirectly, in particular by reference to an identifier such as a name, an identification number, location data, an online identifier or to one or more factors specific to the physical, physiological, genetic, mental, economic, cultural or social identity of that natural person;"
"G041","REG_GDPR","G039","paragraph","2","2","GDPR_A4.2","","","DEFINITION","‘processing’ means any operation or set of operations which is performed on personal data or on sets of personal data, whether or not by automated means, such as collection, recording, organisation, structuring, storage, adaptation or alteration, retrieval, consultation, use, disclosure by transmission, dissemination or otherwise making available, alignment or combination, restriction, erasure or destruction;"
"G042","REG_GDPR","G039","paragraph","2","3","GDPR_A4.3","","","DEFINITION","‘restriction of processing’ means the marking of stored personal data with the aim of limiting their processing in the future;"
"G043","REG_GDPR","G039","paragraph","2","4","GDPR_A4.4","","","DEFINITION","‘profiling’ means any form of automated processing of personal data consisting of the use of personal data to evaluate certain personal aspects relating to a natural person, in particular to analyse or predict aspects concerning that natural person's performance at work, economic situation, health, personal preferences, interests, reliability, behaviour, location or movements;"
"G044","REG_GDPR","G039","paragraph","2","5","GDPR_A4.5","","","DEFINITION","‘pseudonymisation’ means the processing of personal data in such a manner that the personal data can no longer be attributed to a specific data subject without the use of additional information, provided that such additional information is kept separately and is subject to technical and organisational measures to ensure that the personal data are not attributed to an identified or identifiable natural person;"
"G045","REG_GDPR","G039","paragraph","2","6","GDPR_A4.6","","","DEFINITION","‘filing system’ means any structured set of personal data which are accessible according to specific criteria, whether centralised, decentralised or dispersed on a functional or geographical basis;"
"G046","REG_GDPR","G039","paragraph","2","7","GDPR_A4.7","","","DEFINITION","‘controller’ means the natural or legal person, public authority, agency or other body which, alone or jointly with others, determines the purposes and means of the processing of personal data; where the purposes and means of such processing are determined by Union or Member State law, the controller or the specific criteria for its nomination may be provided for by Union or Member State law;"
"G047","REG_GDPR","G039","paragraph","2","8","GDPR_A4.8","","","DEFINITION","‘processor’ means a natural or legal person, public authority, agency or other body which processes personal data on behalf of the controller;"
"G048","REG_GDPR","G039","paragraph","2","9","GDPR_A4.9","","","DEFINITION","‘recipient’ means a natural or legal person, public authority, agency or another body, to which the personal data are disclosed, whether a third party or not. However, public authorities which may receive personal data in the

framework of a particular inquiry in accordance with Union or Member State law shall not be regarded as recipients; the processing of those data by those public authorities shall be in compliance with the applicable data protection rules according to the purposes of the processing;"
"G049","REG_GDPR","G039","paragraph","2","10","GDPR_A4.10","","","DEFINITION","‘third party’ means a natural or legal person, public authority, agency or body other than the data subject, controller, processor and persons who, under the direct authority of the controller or processor, are authorised to process personal data;"
"G050","REG_GDPR","G039","paragraph","2","11","GDPR_A4.11","","","DEFINITION","‘consent’ of the data subject means any freely given, specific, informed and unambiguous indication of the data subject's wishes by which he or she, by a statement or by a clear affirmative action, signifies agreement to the processing of personal data relating to him or her;"
"G051","REG_GDPR","G039","paragraph","2","12","GDPR_A4.12","","","DEFINITION","‘personal data breach’ means a breach of security leading to the accidental or unlawful destruction, loss, alteration, unauthorised disclosure of, or access to, personal data transmitted, stored or otherwise processed;"
"G052","REG_GDPR","G039","paragraph","2","13","GDPR_A4.13","","","DEFINITION","‘genetic data’ means personal data relating to the inherited or acquired genetic characteristics of a natural person which give unique information about the physiology or the health of that natural person and which result, in particular, from an analysis of a biological sample from the natural person in question;"
"G053","REG_GDPR","G039","paragraph","2","14","GDPR_A4.14","","","DEFINITION","‘biometric data’ means personal data resulting from specific technical processing relating to the physical, physio­ logical or behavioural characteristics of a natural person, which allow or confirm the unique identification of that natural person, such as facial images or dactyloscopic data;"
"G054","REG_GDPR","G039","paragraph","2","15","GDPR_A4.15","","","DEFINITION","‘data concerning health’ means personal data related to the physical or mental health of a natural person, including the provision of health care services, which reveal information about his or her health status;"
"G055","REG_GDPR","G054","point","3","a","GDPR_A4.16.a","","","DEFINITION","as regards a controller with establishments in more than one Member State, the place of its central adminis­ tration in the Union, unless the decisions on the purposes and means of the processing of personal data are taken in another establishment of the controller in the Union and the latter establishment has the power to have such decisions implemented, in which case the establishment having taken such decisions is to be considered to be the main establishment;"
"G056","REG_GDPR","G054","point","3","b","GDPR_A4.16.b","","","DEFINITION","as regards a processor with establishments in more than one Member State, the place of its central adminis­ tration in the Union, or, if the processor has no central administration in the Union, the establishment of the processor in the Union where the main processing activities in the context of the activities of an establishment of the processor take place to the extent that the processor is subject to specific obligations under this Regulation;"
"G057","REG_GDPR","G039","paragraph","2","16","GDPR_A4.16","","","DEFINITION","‘main establishment’ means:"
"G058","REG_GDPR","G039","paragraph","2","17","GDPR_A4.17","","","DEFINITION","‘representative’ means a natural or legal person established in the Union who, designated by the controller or processor in writing pursuant to Article 27, represents the controller or processor with regard to their respective obligations under this Regulation;"
"G059","REG_GDPR","G039","paragraph","2","18","GDPR_A4.18","","","DEFINITION","‘enterprise’ means a natural or legal person engaged in an economic activity, irrespective of its legal form, including partnerships or associations regularly engaged in an economic activity;"
"G060","REG_GDPR","G039","paragraph","2","19","GDPR_A4.19","","","DEFINITION","‘group of undertakings’ means a controlling undertaking and its controlled undertakings;"
"G061","REG_GDPR","G039","paragraph","2","20","GDPR_A4.20","","","DEFINITION","‘binding corporate rules’ means personal data protection policies which are adhered to by a controller or processor established on the territory of a Member State for transfers or a set of transfers of personal data to a controller or processor in one or more third countries within a group of undertakings, or group of enterprises engaged in a joint economic activity;"
"G062","REG_GDPR","G039","paragraph","2","21","GDPR_A4.21","","","DEFINITION","‘supervisory authority’ means an independent public authority which is established by a Member State pursuant to Article 51;"
"G063","REG_GDPR","G062","point","3","a_2","GDPR_A4.22.a_2","","","DEFINITION","the controller or processor is established on the territory of the Member State of that supervisory authority;"
"G064","REG_GDPR","G062","point","3","b_2","GDPR_A4.22.b_2","","","DEFINITION","data subjects residing in the Member State of that supervisory authority are substantially affected or likely to be substantially affected by the processing; or"
"G065","REG_GDPR","G062","point","3","c_2","GDPR_A4.22.c_2","","","DEFINITION","a complaint has been lodged with that supervisory authority;"
"G066","REG_GDPR","G039","paragraph","2","22","GDPR_A4.22","","","DEFINITION","‘supervisory authority concerned’ means a supervisory authority which is concerned by the processing of personal data because:"
"G067","REG_GDPR","G066","point","3","a_3","GDPR_A4.23.a_3","","","DEFINITION","processing of personal data which takes place in the context of the activities of establishments in more than one Member State of a controller or processor in the Union where the controller or processor is established in more than one Member State; or"
"G068","REG_GDPR","G066","point","3","b_3","GDPR_A4.23.b_3","","","DEFINITION","processing of personal data which takes place in the context of the activities of a single establishment of a controller or processor in the Union but which substantially affects or is likely to substantially affect data subjects in more than one Member State."
"G069","REG_GDPR","G039","paragraph","2","23","GDPR_A4.23","","","DEFINITION","‘cross-border processing’ means either:"
"G070","REG_GDPR","G039","paragraph","2","24","GDPR_A4.24","","","DEFINITION","‘relevant and reasoned objection’ means an objection to a draft decision as to whether there is an infringement of this Regulation, or whether envisaged action in relation to the controller or processor complies with this Regulation, which clearly demonstrates the significance of the risks posed by the draft decision as regards the fundamental rights and freedoms of data subjects and, where applicable, the free flow of personal data within the Union;"
"G071","REG_GDPR","G039","paragraph","2","25","GDPR_A4.25","","","DEFINITION","‘information society service’ means a service as defined in point (b) of Article 1(1) of Directive (EU) 2015/1535 of the European Parliament and of the Council (1);"
"G072","REG_GDPR","G039","paragraph","2","26","GDPR_A4.26","","","DEFINITION","‘international organisation’ means an organisation and its subordinate bodies governed by public international law, or any other body which is set up by, or on the basis of, an agreement between two or more countries.

CHAPTER II

Principles"
"G073","REG_GDPR","","article","1","9","GDPR_A9","Processing of special categories of personal data","Processing of special categories of personal data","MATERIAL;DEFINITION",""
"G074","REG_GDPR","G073","paragraph","2","1","GDPR_A9.1","","","MATERIAL;DEFINITION;OBLIGATION","Processing of personal data revealing racial or ethnic origin, political opinions, religious or philosophical beliefs, or trade union membership, and the processing of genetic data, biometric data for the purpose of uniquely identifying a natural person, data concerning health or data concerning a natural person's sex life or sexual orientation shall be prohibited."
"G075","REG_GDPR","G074","point","3","a","GDPR_A9.2.a","","","MATERIAL;DEFINITION","the data subject has given explicit consent to the processing of those personal data for one or more specified purposes, except where Union or Member State law provide that the prohibition referred to in paragraph 1 may not be lifted by the data subject;"
"G076","REG_GDPR","G074","point","3","b","GDPR_A9.2.b","","","MATERIAL;DEFINITION","processing is necessary for the purposes of carrying out the obligations and exercising specific rights of the controller or of the data subject in the field of employment and social security and social protection law in so far as it is authorised by Union or Member State law or a collective agreement pursuant to Member State law providing for appropriate safeguards for the fundamental rights and the interests of the data subject;"
"G077","REG_GDPR","G074","point","3","c","GDPR_A9.2.c","","","MATERIAL;DEFINITION","processing is necessary to protect the vital interests of the data subject or of another natural person where the data subject is physically or legally incapable of giving consent;"
"G078","REG_GDPR","G074","point","3","d","GDPR_A9.2.d","","","MATERIAL;DEFINITION","processing is carried out in the course of its legitimate activities with appropriate safeguards by a foundation, association or any other not-for-profit body with a political, philosophical, religious or trade union aim and on condition that the processing relates solely to the members or to former members of the body or to persons who have regular contact with it in connection with its purposes and that the personal data are not disclosed outside that body without the consent of the data subjects;"
"G079","REG_GDPR","G074","point","3","e","GDPR_A9.2.e","","","MATERIAL;DEFINITION","processing relates to personal data which are manifestly made public by the data subject;"
"G080","REG_GDPR","G074","point","3","f","GDPR_A9.2.f","","","MATERIAL;DEFINITION","processing is necessary for the establishment, exercise or defence of legal claims or whenever courts are acting in their judicial capacity;"
"G081","REG_GDPR","G074","point","3","g","GDPR_A9.2.g","","","MATERIAL;DEFINITION","processing is necessary for reasons of substantial public interest, on the basis of Union or Member State law which shall be proportionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject;"
"G082","REG_GDPR","G081","subpoint","4","i","GDPR_A9.2.h.i","","","MATERIAL;DEFINITION","processing is necessary for reasons of public interest in the area of public health, such as protecting against serious cross-border threats to health or ensuring high standards of quality and safety of health care and of medicinal products or medical devices, on the basis of Union or Member State law which provides for suitable and specific measures to safeguard the rights and freedoms of the data subject, in particular professional secrecy;"
"G083","REG_GDPR","G074","point","3","h","GDPR_A9.2.h","","","MATERIAL;DEFINITION","processing is necessary for the purposes of preventive or occupational medicine, for the assessment of the working capacity of the employee, medical diagnosis, the provision of health or social care or treatment or the management of health or social care systems and services on the basis of Union or Member State law or pursuant to contract with a health professional and subject to the conditions and safeguards referred to in paragraph 3;"
"G084","REG_GDPR","G074","point","3","j","GDPR_A9.2.j","","","MATERIAL;DEFINITION","processing is necessary for archiving purposes in the public interest, scientific or historical research purposes or statistical purposes in accordance with Article 89(1) based on Union or Member State law which shall be propor­ tionate to the aim pursued, respect the essence of the right to data protection and provide for suitable and specific measures to safeguard the fundamental rights and the interests of the data subject."
"G085","REG_GDPR","G073","paragraph","2","2","GDPR_A9.2","","","MATERIAL;DEFINITION","Paragraph 1 shall not apply if one of the following applies:"
"G086","REG_GDPR","G073","paragraph","2","3","GDPR_A9.3","","","MATERIAL;DEFINITION","Personal data referred to in paragraph 1 may be processed for the purposes referred to in point (h) of paragraph 2 when those data are processed by or under the responsibility of a professional subject to the obligation of professional secrecy under Union or Member State law or rules established by national competent bodies or by another person also subject to an obligation of secrecy under Union or Member State law or rules established by national competent bodies."
"G087","REG_GDPR","G073","paragraph","2","4","GDPR_A9.4","","","MATERIAL;DEFINITION","Member States may maintain or introduce further conditions, including limitations, with regard to the processing of genetic data, biometric data or data concerning health."
"G088","REG_GDPR","","article","1","10","GDPR_A10","Processing of personal data relating to criminal convictions and offences","Processing of personal data relating to criminal convictions and offences","MATERIAL;DEFINITION;OBLIGATION","Processing of personal data relating to criminal convictions and offences or related security measures based on Article 6(1) shall be carried out only under the control of official authority or when the processing is authorised by Union or Member State law providing for appropriate safeguards for the rights and freedoms of data subjects. Any comprehensive register of criminal convictions shall be kept only under the control of official authority."
"G089","REG_GDPR","","article","1","11","GDPR_A11","Processing which does not require identification","Processing which does not require identification","MATERIAL;DEFINITION",""
"G090","REG_GDPR","G089","paragraph","2","1","GDPR_A11.1","","","MATERIAL;DEFINITION;OBLIGATION","If the purposes for which a controller processes personal data do not or do no longer require the identification of a data subject by the controller, the controller shall not be obliged to maintain, acquire or process additional information in order to identify the data subject for the sole purpose of complying with this Regulation."
