"start_id","end_id"
"G020","F055"
"G020","F057"
"G020","F059"
"G020","F061"
"G020","F063"
"G020","F064"
"G021","F055"
"G021","F116"
"G023","F066"
"G023","F116"
"G025","F006"
"G025","F007"
"G025","F008"
"G025","F048"
"G025","F055"
"G025","F065"
"G026","F033"
"G026","F059"
"G027","F055"
"G027","F059"
"G027","F116"
"G027","F120"
"G028","F034"
"G028","F059"
"G029","F035"
"G029","F059"
"G030","F059"
"G030","F116"
"G031","F036"
"G031","F059"
"G032","F055"
"G032","F066"
"G032","F116"
"G033","F057"
"G033","F116"
"G034","F009"
"G034","F010"
"G034","F017"
"G034","F019"
"G034","F057"
"G035","F009"
"G035","F010"
"G035","F020"
"G035","F057"
"G036","F009"
"G036","F010"
"G036","F021"
"G036","F057"
"G037","F057"
"G037","F069"
"G037","F116"
"G038","F009"
"G038","F022"
"G038","F057"
"G039","F001"
"G039","F002"
"G039","F003"
"G039","F048"
"G040","F001"
"G040","F002"
"G040","F003"
"G040","F048"
"G040","F114"
"G040","F116"
"G041","F006"
"G041","F065"
"G041","F114"
"G041","F116"
"G042","F114"
"G042","F116"
"G043","F114"
"G043","F116"
"G044","F114"
"G044","F116"
"G044","F131"
"G044","F315"
"G045","F008"
"G045","F114"
"G045","F116"
"G046","F009"
"G046","F114"
"G046","F116"
"G046","F117"
"G047","F010"
"G047","F114"
"G047","F116"
"G048","F066"
"G048","F114"
"G048","F116"
"G048","F117"
"G048","F285"
"G049","F114"
"G049","F116"
"G051","F114"
"G051","F116"
"G052","F004"
"G052","F048"
"G052","F114"
"G052","F116"
"G053","F048"
"G053","F114"
"G053","F116"
"G054","F048"
"G054","F114"
"G054","F116"
"G057","F114"
"G057","F116"
"G058","F017"
"G058","F114"
"G058","F116"
"G059","F114"
"G059","F116"
"G060","F114"
"G060","F116"
"G061","F114"
"G061","F116"
"G062","F114"
"G062","F116"
"G066","F114"
"G066","F116"
"G069","F114"
"G069","F116"
"G070","F114"
"G070","F116"
"G071","F114"
"G071","F116"
"G072","F114"
"G072","F116"
"G073","F048"
"G073","F049"
"G074","F004"
"G074","F049"
"G075","F077"
"G075","F078"
"G075","F116"
"G075","F117"
"G076","F077"
"G076","F079"
"G077","F077"
"G077","F080"
"G078","F077"
"G078","F081"
"G079","F077"
"G079","F082"
"G080","F077"
"G080","F083"
"G081","F066"
"G081","F077"
"G081","F084"
"G081","F116"
"G082","F077"
"G082","F086"
"G083","F077"
"G083","F085"
"G084","F066"
"G084","F077"
"G084","F087"
"G084","F116"
"G085","F055"
"G085","F066"
"G085","F077"
"G085","F116"
"G086","F055"
"G086","F116"
"G086","F117"
"G087","F116"
"G087","F117"
"G088","F005"
"G088","F048"
"G088","F075"
"G088","F076"
"G090","F009"
"G090","F064"
"G090","F066"
"G090","F068"
"G090","F088"
"G090","F116"
"G091","F009"
"G091","F064"
"G091","F066"
"G091","F089"
"G091","F090"
"G091","F116"
"G092","F119"
"G103","F009"
"G103","F116"
"G103","F117"
"G103","F233"
"G103","F244"
"G111","F116"
"G111","F117"
"G112","F066"
"G112","F116"
"G113","F057"
"G113","F116"
"G114","F057"
"G114","F064"
"G114","F066"
"G114","F069"
"G114","F070"
