"start_id","end_id"
"G020","G021"
"G020","G022"
"G020","G023"
"G024","G025"
"G025","G026"
"G025","G027"
"G025","G028"
"G025","G029"
"G024","G030"
"G024","G031"
"G024","G032"
"G033","G034"
"G034","G035"
"G034","G036"
"G033","G037"
"G033","G038"
"G039","G040"
"G039","G041"
"G039","G042"
"G039","G043"
"G039","G044"
"G039","G045"
"G039","G046"
"G039","G047"
"G039","G048"
"G039","G049"
"G039","G050"
"G039","G051"
"G039","G052"
"G039","G053"
"G039","G054"
"G054","G055"
"G054","G056"
"G039","G057"
"G039","G058"
"G039","G059"
"G039","G060"
"G039","G061"
"G039","G062"
"G062","G063"
"G062","G064"
"G062","G065"
"G039","G066"
"G066","G067"
"G066","G068"
"G039","G069"
"G039","G070"
"G039","G071"
"G039","G072"
"G073","G074"
"G074","G075"
"G074","G076"
"G074","G077"
"G074","G078"
"G074","G079"
"G074","G080"
"G074","G081"
"G081","G082"
"G074","G083"
"G074","G084"
"G073","G085"
"G073","G086"
"G073","G087"
"G089","G090"
"G089","G091"
"G092","G093"
"G092","G094"
"G092","G095"
"G092","G096"
"G092","G097"
"G092","G098"
"G092","G099"
"G099","G100"
"G092","G101"
"G092","G102"
"G092","G103"
"G103","G104"
"G103","G105"
"G103","G106"
"G103","G107"
"G103","G108"
"G103","G109"
"G103","G110"
"G103","G111"
"G092","G112"
"G113","G114"
"G114","G115"
"G114","G116"
"G113","G117"
"G113","G118"
"G113","G119"
"G113","G120"
"G121","G122"
"G121","G123"
"G121","G124"
"G127","G128"
"G127","G129"
"G127","G130"
"G131","G132"
"G131","G133"
"G131","G134"
"G131","G135"
"G136","G137"
"G136","G138"
"G139","G140"
"G139","G141"
"G142","G143"
"G142","G144"
"G147","G148"
"G147","G149"
"A013","A014"
"A014","A015"
"A014","A016"
"A014","A017"
"A014","A018"
"A014","A019"
"A014","A020"
"A014","A021"
"A013","A022"
"A023","A024"
"A023","A025"
"A023","A026"
"A023","A027"
"A023","A028"
"A023","A029"
"A023","A030"
"A023","A031"
"A023","A032"
"A023","A033"
"A023","A034"
"A023","A035"
"A023","A036"
"A023","A037"
"A023","A038"
"A023","A039"
"A023","A040"
"A023","A041"
"A023","A042"
"A043","A044"
"A043","A045"
"A043","A046"
"A043","A047"
"A043","A048"
"A043","A049"
"A043","A050"
"A043","A051"
"A043","A052"
"A043","A053"
"A043","A054"
"A043","A055"
"A043","A056"
"A043","A057"
"A043","A058"
"A043","A059"
"A043","A060"
"A043","A061"
"A043","A062"
"A043","A063"
"A043","A064"
"A043","A065"
"A043","A066"
"A043","A067"
"A043","A068"
"A043","A069"
"A043","A070"
"A043","A071"
"A043","A072"
"A043","A073"
"A043","A074"
"A043","A075"
"A043","A076"
"A043","A077"
"A043","A078"
"A043","A079"
"A043","A080"
"A043","A081"
"A043","A082"
"A043","A083"
"A043","A084"
"A043","A085"
"A043","A086"
"A043","A087"
"A087","A088"
"A087","A089"
"A043","A090"
"A043","A091"
"A043","A092"
"A043","A093"
"A093","A094"
"A093","A095"
"A093","A096"
"A093","A097"
"A043","A098"
"A043","A099"
"A043","A100"
"A043","A101"
"A043","A102"
"A043","A103"
"A043","A104"
"A043","A105"
"A043","A106"
"A043","A107"
"A043","A108"
"A043","A109"
"A109","A110"
"A109","A111"
"A109","A112"
"A109","A113"
"A109","A114"
"A043","A115"
"A043","A116"
"A043","A117"
"A043","A118"
"A043","A119"
"A043","A120"
"A043","A121"
"A043","A122"
"A123","A124"
"A123","A125"
"A125","A126"
"A125","A127"
"A123","A128"
"A123","A129"
"A123","A130"
"A123","A131"
"A123","A132"
"A132","A133"
"A132","A134"
"A132","A135"
"A123","A136"
"A123","A137"
"A137","A138"
"A137","A139"
"A123","A140"
"A123","A141"
"A123","A142"
"A123","A143"
"A123","A144"
"A123","A145"
"A123","A146"
"A147","A148"
"A147","A149"
"A147","A150"
"A147","A151"
"A151","A152"
"A151","A153"
"A151","A154"
"A151","A155"
"A147","A156"
"A147","A157"
"A147","A158"
"A147","A159"
"A147","A160"
"A147","A161"
"A162","A163"
"A162","A164"
"A162","A165"
"A165","A166"
"A165","A167"
"A165","A168"
"A165","A169"
"A165","A170"
"A165","A171"
"A165","A172"
"A172","A173"
"A165","A174"
"A165","A175"
"A175","A176"
"A175","A177"
"A165","A178"
"A162","A179"
"A179","A180"
"A179","A181"
"A162","A182"
"A183","A184"
"A183","A185"
"A183","A186"
"A183","A187"
"A183","A188"
"A183","A189"
"A183","A190"
"A191","A192"
"A191","A193"
"A191","A194"
"A191","A195"
"A191","A196"
"A197","A198"
"A197","A199"
"A197","A200"
"A197","A201"
"A197","A202"
"A197","A203"
"A204","A205"
"A204","A206"
"A204","A207"
