"start_id","end_id"
"G020","R0109"
"G020","R0110"
"G021","R0111"
"G023","R0112"
"G025","R0113"
"G025","R0114"
"G026","R0115"
"G027","R0116"
"G027","R0117"
"G028","R0118"
"G029","R0119"
"G030","R0120"
"G031","R0121"
"G032","R0122"
"G032","R0123"
"G033","R0124"
"G034","R0125"
"G034","R0126"
"G035","R0127"
"G035","R0128"
"G036","R0129"
"G036","R0130"
"G037","R0131"
"G038","R0132"
"G039","R0133"
"G040","R0134"
"G040","R0135"
"G041","R0136"
"G041","R0137"
"G042","R0138"
"G043","R0139"
"G043","R0140"
"G044","R0141"
"G044","R0142"
"G045","R0143"
"G045","R0144"
"G046","R0145"
"G046","R0146"
"G046","R0147"
"G047","R0148"
"G047","R0149"
"G048","R0150"
"G048","R0151"
"G048","R0152"
"G048","R0153"
"G049","R0154"
"G050","R0155"
"G051","R0156"
"G051","R0157"
"G052","R0158"
"G052","R0159"
"G053","R0160"
"G053","R0161"
"G054","R0162"
"G054","R0163"
"G057","R0164"
"G058","R0165"
"G058","R0166"
"G059","R0167"
"G060","R0168"
"G061","R0169"
"G062","R0170"
"G066","R0171"
"G069","R0172"
"G070","R0173"
"G071","R0174"
"G072","R0175"
"G073","R0176"
"G074","R0177"
"G074","R0178"
"G074","R0179"
"G074","R0180"
"G074","R0181"
"G074","R0182"
"G074","R0183"
"G074","R0184"
"G074","R0185"
"G074","R0186"
"G074","R0187"
"G075","R0188"
"G075","R0189"
"G076","R0190"
"G077","R0191"
"G078","R0192"
"G079","R0193"
"G080","R0194"
"G081","R0195"
"G081","R0196"
"G082","R0197"
"G083","R0198"
"G084","R0199"
"G084","R0200"
"G085","R0201"
"G085","R0202"
"G086","R0203"
"G086","R0204"
"G087","R0205"
"G088","R0206"
"G090","R0207"
"G090","R0208"
"G091","R0209"
"G091","R0210"
"G103","R0211"
"G103","R0212"
"G111","R0213"
"G112","R0214"
"G113","R0215"
"G114","R0216"
"G114","R0217"
"G114","R0218"
"G115","R0219"
"G115","R0220"
"G116","R0221"
"G116","R0222"
"G117","R0223"
"G117","R0224"
"G117","R0225"
"G117","R0226"
"G118","R0227"
"G118","R0228"
"G118","R0229"
"G119","R0230"
"G119","R0231"
"G119","R0232"
"G120","R0233"
"G120","R0234"
"G122","R0235"
"G123","R0236"
"G124","R0237"
"G125","R0238"
"G126","R0239"
"G126","R0240"
"G128","R0241"
"G129","R0242"
"G130","R0243"
"G130","R0244"
"G132","R0245"
"G132","R0246"
"G133","R0247"
"G134","R0248"
"G135","R0249"
"G137","R0250"
"G137","R0251"
"G138","R0252"
"G138","R0253"
"G140","R0254"
"G141","R0255"
"G141","R0256"
"G143","R0257"
"G144","R0258"
"G145","R0259"
"G145","R0260"
"G146","R0261"
"G146","R0262"
"A013","R0312"
"A013","R0313"
"A013","R0314"
"A013","R0315"
"A015","R0316"
"A016","R0317"
"A018","R0318"
"A019","R0319"
"A020","R0320"
"A022","R0321"
"A023","R0322"
"A023","R0323"
"A024","R0324"
"A024","R0325"
"A025","R0326"
"A025","R0327"
"A026","R0328"
"A026","R0329"
"A027","R0330"
"A027","R0331"
"A028","R0332"
"A028","R0333"
"A028","R0334"
"A029","R0335"
"A029","R0336"
"A030","R0337"
"A030","R0338"
"A031","R0339"
"A031","R0340"
"A032","R0341"
"A032","R0342"
"A033","R0343"
"A033","R0344"
"A034","R0345"
"A034","R0346"
"A034","R0347"
"A034","R0348"
"A035","R0349"
"A035","R0350"
"A036","R0351"
"A037","R0352"
"A037","R0353"
"A037","R0354"
"A038","R0355"
"A039","R0356"
"A039","R0357"
"A040","R0358"
"A041","R0359"
"A042","R0360"
"A044","R0361"
"A045","R0362"
"A046","R0363"
"A046","R0364"
"A046","R0365"
"A046","R0366"
"A047","R0367"
"A047","R0368"
"A048","R0369"
"A048","R0370"
"A049","R0371"
"A049","R0372"
"A050","R0373"
"A050","R0374"
"A051","R0375"
"A051","R0376"
"A051","R0377"
"A051","R0378"
"A051","R0379"
"A051","R0380"
"A051","R0381"
"A052","R0382"
"A053","R0383"
"A054","R0384"
"A055","R0385"
"A056","R0386"
"A056","R0387"
"A057","R0388"
"A058","R0389"
"A059","R0390"
"A060","R0391"
"A061","R0392"
"A062","R0393"
"A063","R0394"
"A064","R0395"
"A065","R0396"
"A066","R0397"
"A067","R0398"
"A068","R0399"
"A069","R0400"
"A070","R0401"
"A071","R0402"
"A072","R0403"
"A073","R0404"
"A074","R0405"
"A075","R0406"
"A076","R0407"
"A077","R0408"
"A078","R0409"
"A079","R0410"
"A080","R0411"
"A081","R0412"
"A082","R0413"
"A083","R0414"
"A084","R0415"
"A085","R0416"
"A086","R0417"
"A087","R0418"
"A087","R0419"
"A090","R0420"
"A091","R0421"
"A092","R0422"
"A092","R0423"
"A093","R0424"
"A093","R0425"
"A098","R0426"
"A099","R0427"
"A100","R0428"
"A101","R0429"
"A102","R0430"
"A103","R0431"
"A104","R0432"
"A105","R0433"
"A106","R0434"
"A108","R0435"
"A109","R0436"
"A109","R0437"
"A115","R0438"
"A116","R0439"
"A117","R0440"
"A118","R0441"
"A118","R0442"
"A119","R0443"
"A119","R0444"
"A120","R0445"
"A120","R0446"
"A121","R0447"
"A122","R0448"
"A124","R0449"
"A125","R0450"
"A128","R0451"
"A129","R0452"
"A130","R0453"
"A131","R0454"
"A132","R0455"
"A133","R0456"
"A134","R0457"
"A135","R0458"
"A136","R0459"
"A137","R0460"
"A137","R0461"
"A139","R0462"
"A139","R0463"
"A140","R0464"
"A141","R0465"
"A141","R0466"
"A141","R0467"
"A141","R0468"
"A142","R0469"
"A142","R0470"
"A142","R0471"
"A143","R0472"
"A143","R0473"
"A143","R0474"
"A144","R0475"
"A145","R0476"
"A146","R0477"
"A146","R0478"
"A150","R0479"
"A150","R0480"
"A151","R0481"
"A152","R0482"
"A153","R0483"
"A154","R0484"
"A155","R0485"
"A155","R0486"
"A156","R0487"
"A156","R0488"
"A157","R0489"
"A157","R0490"
"A157","R0491"
"A158","R0492"
"A159","R0493"
"A159","R0494"
"A160","R0495"
"A161","R0496"
"A165","R0497"
"A169","R0498"
"A173","R0499"
"A179","R0500"
"A182","R0501"
"A184","R0502"
"A184","R0503"
"A185","R0504"
"A185","R0505"
"A185","R0506"
"A186","R0507"
"A186","R0508"
"A186","R0509"
"A187","R0510"
"A187","R0511"
"A187","R0512"
"A188","R0513"
"A188","R0514"
"A188","R0515"
"A188","R0516"
"A188","R0517"
"A188","R0518"
"A189","R0519"
"A190","R0520"
"A190","R0521"
"A190","R0522"
"A192","R0523"
"A193","R0524"
"A194","R0525"
"A194","R0526"
"A194","R0527"
"A194","R0528"
"A195","R0529"
"A195","R0530"
"A196","R0531"
"A198","R0532"
"A198","R0533"
"A198","R0534"
