"start_id","end_id"
"G001","F001"
"G001","F002"
"G001","F196"
"G001","F199"
"G001","F200"
"G001","F230"
"G001","F231"
"G001","F232"
"G001","F286"
"G002","F006"
"G002","F007"
"G002","F008"
"G002","F048"
"G002","F055"
"G002","F065"
"G002","F191"
"G002","F195"
"G002","F215"
"G002","F234"
"G002","F286"
"G002","F310"
"G002","F317"
"G002","F326"
"G003","F033"
"G003","F059"
"G003","F154"
"G003","F237"
"G003","F242"
"G003","F286"
"G004","F006"
"G004","F036"
"G004","F059"
"G004","F184"
"G004","F203"
"G004","F256"
"G004","F286"
"G005","F001"
"G005","F006"
"G005","F034"
"G005","F059"
"G005","F256"
"G005","F258"
"G005","F267"
"G005","F286"
"G006","F006"
"G006","F035"
"G006","F059"
"G006","F155"
"G006","F156"
"G006","F170"
"G006","F187"
"G006","F194"
"G006","F197"
"G006","F203"
"G006","F219"
"G006","F226"
"G006","F233"
"G006","F235"
"G006","F239"
"G006","F244"
"G006","F247"
"G006","F256"
"G006","F261"
"G006","F262"
"G006","F263"
"G006","F272"
"G006","F286"
"G006","F295"
"G006","F298"
"G006","F299"
"G006","F300"
"G006","F301"
"G006","F302"
"G006","F303"
"G006","F304"
"G006","F305"
"G006","F329"
"G007","F006"
"G007","F055"
"G007","F162"
"G007","F193"
"G007","F220"
"G007","F221"
"G007","F222"
"G007","F223"
"G007","F256"
"G007","F286"
"G007","F312"
"G008","F192"
"G008","F213"
"G008","F216"
"G008","F217"
"G008","F286"
"G009","F009"
"G009","F010"
"G009","F017"
"G009","F019"
"G009","F057"
"G009","F151"
"G009","F179"
"G009","F183"
"G009","F228"
"G009","F265"
"G009","F286"
"G009","F309"
"G009","F311"
"G010","F020"
"G010","F181"
"G010","F182"
"G010","F186"
"G010","F214"
"G010","F240"
"G010","F251"
"G010","F255"
"G010","F286"
"G010","F314"
"G010","F318"
"G010","F328"
"G011","F021"
"G011","F141"
"G011","F142"
"G011","F143"
"G011","F150"
"G011","F270"
"G011","F271"
"G011","F286"
"G011","F321"
"G012","F009"
"G012","F022"
"G012","F057"
"G012","F173"
"G012","F286"
"G012","F293"
"G013","F001"
"G013","F002"
"G013","F048"
"G013","F144"
"G013","F145"
"G013","F149"
"G013","F164"
"G013","F198"
"G013","F207"
"G013","F208"
"G013","F209"
"G013","F210"
"G013","F211"
"G013","F212"
"G013","F276"
"G013","F283"
"G013","F286"
"G013","F288"
"G013","F290"
"G013","F316"
"G014","F002"
"G014","F167"
"G014","F168"
"G014","F196"
"G014","F238"
"G014","F286"
"G015","F009"
"G015","F010"
"G015","F163"
"G015","F275"
"G015","F286"
"G015","F297"
"G015","F313"
"G016","F131"
"G016","F146"
"G016","F178"
"G016","F201"
"G016","F274"
"G016","F286"
"G016","F289"
"G016","F306"
"G016","F315"
"G017","F001"
"G017","F002"
"G017","F065"
"G017","F153"
"G017","F161"
"G017","F172"
"G017","F208"
"G017","F218"
"G017","F253"
"G017","F268"
"G017","F269"
"G017","F281"
"G017","F286"
"G017","F307"
"G018","F157"
"G018","F174"
"G018","F175"
"G018","F176"
"G018","F177"
"G018","F202"
"G018","F227"
"G018","F229"
"G018","F245"
"G018","F250"
"G018","F252"
"G018","F260"
"G018","F277"
"G018","F278"
"G018","F279"
"G018","F284"
"G018","F285"
"G018","F286"
"G018","F330"
"G018","F331"
"G019","F158"
"G019","F159"
"G019","F160"
"G019","F264"
"G019","F266"
"G019","F286"
"G019","F292"
"A001","F050"
"A001","F056"
"A001","F136"
"A001","F139"
"A001","F171"
"A001","F190"
"A001","F236"
"A001","F259"
"A001","F280"
"A001","F286"
"A001","F327"
"A002","F050"
"A002","F054"
"A002","F133"
"A002","F188"
"A002","F189"
"A002","F204"
"A002","F257"
"A002","F286"
"A003","F185"
"A003","F287"
"A004","F224"
"A004","F287"
"A005","F050"
"A005","F138"
"A005","F147"
"A005","F148"
"A005","F165"
"A005","F166"
"A005","F257"
"A005","F287"
"A006","F011"
"A006","F012"
"A006","F017"
"A006","F018"
"A006","F058"
"A006","F180"
"A006","F273"
"A006","F286"
"A007","F011"
"A007","F012"
"A007","F017"
"A007","F025"
"A007","F050"
"A007","F058"
"A007","F060"
"A007","F132"
"A007","F152"
"A007","F225"
"A007","F286"
"A007","F319"
"A007","F320"
"A008","F011"
"A008","F012"
"A008","F050"
"A008","F056"
"A008","F058"
"A008","F184"
"A008","F286"
"A009","F037"
"A009","F038"
"A009","F050"
"A009","F056"
"A009","F060"
"A009","F134"
"A009","F135"
"A009","F241"
"A009","F243"
"A009","F248"
"A009","F249"
"A009","F286"
"A010","F039"
"A010","F040"
"A010","F050"
"A010","F056"
"A010","F060"
"A010","F137"
"A010","F140"
"A010","F259"
"A010","F280"
"A010","F282"
"A010","F286"
"A010","F294"
"A010","F308"
"A011","F053"
"A011","F054"
"A011","F205"
"A011","F206"
"A011","F254"
"A011","F286"
"A011","F291"
"A011","F296"
"A011","F322"
"A011","F323"
"A011","F325"
"A012","F050"
"A012","F169"
"A012","F246"
"A012","F324"
