"start_id","end_id"
"G001","R0001"
"G001","R0002"
"G001","R0003"
"G001","R0004"
"G001","R0005"
"G002","R0006"
"G002","R0007"
"G002","R0008"
"G002","R0009"
"G002","R0010"
"G003","R0011"
"G003","R0012"
"G003","R0013"
"G003","R0014"
"G004","R0015"
"G004","R0016"
"G004","R0017"
"G005","R0018"
"G005","R0019"
"G006","R0020"
"G006","R0021"
"G006","R0022"
"G006","R0023"
"G006","R0024"
"G006","R0025"
"G006","R0026"
"G006","R0027"
"G006","R0028"
"G006","R0029"
"G006","R0030"
"G006","R0031"
"G006","R0032"
"G006","R0033"
"G006","R0034"
"G006","R0035"
"G006","R0036"
"G006","R0037"
"G006","R0038"
"G006","R0039"
"G007","R0040"
"G007","R0041"
"G007","R0042"
"G007","R0043"
"G007","R0044"
"G008","R0045"
"G008","R0046"
"G009","R0047"
"G009","R0048"
"G009","R0049"
"G009","R0050"
"G009","R0051"
"G009","R0052"
"G009","R0053"
"G010","R0054"
"G010","R0055"
"G010","R0056"
"G010","R0057"
"G010","R0058"
"G010","R0059"
"G010","R0060"
"G010","R0061"
"G010","R0062"
"G010","R0063"
"G011","R0064"
"G011","R0065"
"G011","R0066"
"G011","R0067"
"G011","R0068"
"G011","R0069"
"G012","R0070"
"G012","R0071"
"G013","R0072"
"G013","R0073"
"G013","R0074"
"G013","R0075"
"G013","R0076"
"G013","R0077"
"G013","R0078"
"G013","R0079"
"G013","R0080"
"G013","R0081"
"G013","R0082"
"G014","R0083"
"G014","R0084"
"G014","R0085"
"G015","R0086"
"G015","R0087"
"G015","R0088"
"G015","R0089"
"G016","R0090"
"G016","R0091"
"G016","R0092"
"G017","R0093"
"G017","R0094"
"G017","R0095"
"G017","R0096"
"G017","R0097"
"G017","R0098"
"G017","R0099"
"G018","R0100"
"G018","R0101"
"G018","R0102"
"G018","R0103"
"G018","R0104"
"G018","R0105"
"G018","R0106"
"G019","R0107"
"G019","R0108"
"A001","R0263"
"A001","R0264"
"A001","R0265"
"A001","R0266"
"A001","R0267"
"A001","R0268"
"A002","R0269"
"A002","R0270"
"A002","R0271"
"A005","R0272"
"A005","R0273"
"A005","R0274"
"A006","R0275"
"A006","R0276"
"A006","R0277"
"A006","R0278"
"A007","R0279"
"A007","R0280"
"A007","R0281"
"A007","R0282"
"A007","R0283"
"A008","R0284"
"A008","R0285"
"A008","R0286"
"A008","R0287"
"A009","R0288"
"A009","R0289"
"A009","R0290"
"A009","R0291"
"A009","R0292"
"A009","R0293"
"A009","R0294"
"A010","R0295"
"A010","R0296"
"A010","R0297"
"A010","R0298"
"A010","R0299"
"A010","R0300"
"A010","R0301"
"A010","R0302"
"A011","R0303"
"A011","R0304"
"A011","R0305"
"A011","R0306"
"A011","R0307"
"A011","R0308"
"A011","R0309"
"A011","R0310"
"A012","R0311"
