"start_id","end_id"
"A001","A013"
"A006","A024"
"A006","A025"
"A007","A026"
"A007","A030"
"A007","A034"
"A008","A031"
"A009","A033"
"A010","A036"
"A010","A038"
"A011","A123"
"A011","A183"
"A011","A147"
"A002","A147"
"G001","G020"
"G001","G040"
"G002","G025"
"G003","G026"
"G003","G027"
"G004","G031"
"G019","G142"
"G019","G145"
"G019","G146"
"G005","G028"
"G006","G029"
"G006","G092"
"G008","G032"
"G009","G034"
"G010","G035"
"G011","G036"
"G012","G038"
"G013","G040"
"G014","G040"
"G015","G044"
"G016","G044"
"G017","G040"
"G017","G043"
"G018","G048"
