"start_id","end_id"
"REG_GDPR","G001"
"REG_GDPR","G002"
"REG_GDPR","G003"
"REG_GDPR","G004"
"REG_GDPR","G005"
"REG_GDPR","G006"
"REG_GDPR","G007"
"REG_GDPR","G008"
"REG_GDPR","G009"
"REG_GDPR","G010"
"REG_GDPR","G011"
"REG_GDPR","G012"
"REG_GDPR","G013"
"REG_GDPR","G014"
"REG_GDPR","G015"
"REG_GDPR","G016"
"REG_GDPR","G017"
"REG_GDPR","G018"
"REG_GDPR","G019"
"REG_AIACT","A001"
"REG_AIACT","A002"
"REG_AIACT","A003"
"REG_AIACT","A004"
"REG_AIACT","A005"
"REG_AIACT","A006"
"REG_AIACT","A007"
"REG_AIACT","A008"
"REG_AIACT","A009"
"REG_AIACT","A010"
"REG_AIACT","A011"
"REG_AIACT","A012"
